current_path	legacy_path	kind	dictionary_class	status	current_bytes	current_lines	current_sha256	legacy_bytes	legacy_lines	legacy_sha256	note
data/wordlists/categories/adfs_short.txt	source/categories/adfs_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	3049	85	d527b19d5db7b1cc18d520f1d4fa01b5d2ed1aa3530e818c6df57e9f97655912	3048	85	0820623d9e8b185df71fb3bdc9b926c72df063ef1d3d8f50aed8e6696cf364d5	mapped to pinned source
data/wordlists/categories/admin_short.txt	source/categories/admin_short.txt	wordlist-category	typed-category	EXACT	102340	9392	62eca9f482798d6056c5de9d288af6d047f41a85380f7865053251f25f003d4d	102340	9392	62eca9f482798d6056c5de9d288af6d047f41a85380f7865053251f25f003d4d	mapped to pinned source
data/wordlists/categories/adminer_short.txt	source/categories/adminer_short.txt	wordlist-category	typed-category	EXACT	4392	195	863cd4b94a04bd8f783dbcdf8fe16ebb28a42f9ebae22b5251bea88d7ef2aa33	4392	195	863cd4b94a04bd8f783dbcdf8fe16ebb28a42f9ebae22b5251bea88d7ef2aa33	mapped to pinned source
data/wordlists/categories/adobe_exp_short.txt	source/categories/adobe_exp_short.txt	wordlist-category	typed-category	EXACT	3713906	126935	fe0bcc83dcca47a46d7daa5de7a2a09c819bfee3cf4b9871e512dd9a5fd5a064	3713906	126935	fe0bcc83dcca47a46d7daa5de7a2a09c819bfee3cf4b9871e512dd9a5fd5a064	mapped to pinned source
data/wordlists/categories/adobexml_short.txt	source/categories/adobexml_short.txt	wordlist-category	typed-category	EXACT	412	16	81a2104eedae88624cceac04200550acf4483bcb5ed269f3db86d6aeadc5dd47	412	16	81a2104eedae88624cceac04200550acf4483bcb5ed269f3db86d6aeadc5dd47	mapped to pinned source
data/wordlists/categories/all-dirs_short.txt	source/categories/all-dirs_short.txt	wordlist-category	typed-category	EXACT	52881	5959	07d6751057c331dbbebfcf4591f0d3ef87d5c5f784b28022732b832a47fb723c	52881	5959	07d6751057c331dbbebfcf4591f0d3ef87d5c5f784b28022732b832a47fb723c	mapped to pinned source
data/wordlists/categories/all-extensionless_short.txt	source/categories/all-extensionless_short.txt	wordlist-category	typed-category	EXACT	778	136	83a5474233d63c9f51e08feb6b6c4a609a3f525f0f9ec88f8813f42dcd1b7819	778	136	83a5474233d63c9f51e08feb6b6c4a609a3f525f0f9ec88f8813f42dcd1b7819	mapped to pinned source
data/wordlists/categories/alphanum-case_short.txt	source/categories/alphanum-case_short.txt	wordlist-category	typed-category	EXACT	124	62	fbc2273de3278608b0a40930d54d49ceff00c436034e4be5b17e06334281f835	124	62	fbc2273de3278608b0a40930d54d49ceff00c436034e4be5b17e06334281f835	mapped to pinned source
data/wordlists/categories/apache_short.txt	source/categories/apache_short.txt	wordlist-category	typed-category	EXACT	2494	98	0a4256ec2ebe2f77cf17d0e8f23e36574fc430ae758153638a232ea752f6736f	2494	98	0a4256ec2ebe2f77cf17d0e8f23e36574fc430ae758153638a232ea752f6736f	mapped to pinned source
data/wordlists/categories/api_actions_short.txt	source/categories/api_actions_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	2009	264	292b9edd5ca7de6e12b7d87b60ac2f799f0f1603c79361a560db781e67a60641	2008	264	6ab111386d7fb66042a9f02319d05ce381f287fa190578374ad0deaa14f86134	mapped to pinned source
data/wordlists/categories/api_objects-lowercase_short.txt	source/categories/api_objects-lowercase_short.txt	wordlist-category	typed-category	EXACT	545	82	481097f669a903f85979fad2d34be8dc4ead9828bcdecb7cde617948b3ccbd24	545	82	481097f669a903f85979fad2d34be8dc4ead9828bcdecb7cde617948b3ccbd24	mapped to pinned source
data/wordlists/categories/api_objects_short.txt	source/categories/api_objects_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	20851	3128	68f6fa76ce95a2081d22b59aac86fd8053b17ee1edc3c78f55867b0964c45dd9	20850	3128	172b1bcde2ddd53e39f37960ecde15f12b60bf70cebf48d243929b99cc7c78cc	mapped to pinned source
